listing_id,url,property_type,area_units,area_m2,land_area,rooms,floor,total_floors,has_repair,has_kupca,has_mortgage,photo_count,city,location_level_2,location_level_3,floor_ratio,is_first_floor,is_top_floor,area_per_room,description_has_parking,description_has_furnished,price_azn
6366230,https://bina.az/items/6366230,menziller/yeni-tikili,m²,65.0,,2.0,2.0,13.0,True,False,False,10,Bakı,yasamal,,0.15384615384615385,False,False,32.5,False,,598
6366241,https://bina.az/items/6366241,menziller/yeni-tikili,m²,90.0,,2.0,8.0,16.0,True,False,False,13,Bakı,neriman-nerimanov,,0.5,False,False,45.0,False,,900
6365987,https://bina.az/items/6365987,heyet-evleri,m²,60.0,4.0,2.0,,,True,False,False,8,Qəbələ,,,,,,30.0,False,,70
6366243,https://bina.az/items/6366243,menziller/yeni-tikili,m²,90.0,,2.0,8.0,9.0,True,False,False,12,Bakı,28-may,,0.8888888888888888,False,False,45.0,False,,850
6366246,https://bina.az/items/6366246,menziller/yeni-tikili,m²,77.0,,2.0,10.0,18.0,True,False,False,9,Bakı,28-may,,0.5555555555555556,False,False,38.5,False,,1200
6366252,https://bina.az/items/6366252,menziller/kohne-tikili,m²,62.0,,2.0,1.0,5.0,True,False,False,6,Bakı,neftciler,,0.2,True,False,31.0,False,,590
6275756,https://bina.az/items/6275756,menziller/yeni-tikili,m²,70.0,,2.0,3.0,17.0,True,False,False,13,Bakı,elmler-akademiyasi,,0.17647058823529413,False,False,35.0,False,,1300
6366254,https://bina.az/items/6366254,ofisler,m²,250.0,,7.0,,,True,False,False,13,Bakı,8-noyabr,,,,,35.714285714285715,False,,3000
5750294,https://bina.az/items/5750294,menziller/yeni-tikili,m²,250.0,,4.0,3.0,3.0,True,False,False,25,Bakı,sahil,,1.0,False,True,62.5,False,,3300
6366256,https://bina.az/items/6366256,menziller/yeni-tikili,m²,51.0,,2.0,3.0,17.0,True,False,False,9,Bakı,20-yanvar,,0.17647058823529413,False,False,25.5,False,,700
6366255,https://bina.az/items/6366255,ofisler,m²,25.0,,1.0,,,True,False,False,5,Bakı,nerimanov,,,,,25.0,False,,550
6268182,https://bina.az/items/6268182,menziller/yeni-tikili,m²,105.0,,3.0,10.0,18.0,True,False,False,19,Bakı,28-may,,0.5555555555555556,False,False,35.0,False,,1800
6366129,https://bina.az/items/6366129,menziller/yeni-tikili,m²,120.0,,3.0,8.0,17.0,True,False,False,13,Bakı,qara-qarayev,,0.47058823529411764,False,False,40.0,False,,1000
6366262,https://bina.az/items/6366262,menziller/yeni-tikili,m²,106.0,,2.0,8.0,16.0,True,False,False,14,Bakı,memar-ecemi,,0.5,False,False,53.0,False,,700
6366264,https://bina.az/items/6366264,menziller/kohne-tikili,m²,80.0,,3.0,3.0,9.0,True,False,False,9,Bakı,neriman-nerimanov,,0.3333333333333333,False,False,26.666666666666668,False,True,899
6352175,https://bina.az/items/6352175,menziller/yeni-tikili,m²,85.0,,2.0,10.0,14.0,True,False,False,14,Bakı,nesimi,,0.7142857142857143,False,False,42.5,False,,1100
6366270,https://bina.az/items/6366270,heyet-evleri,m²,85.0,1.0,3.0,,,True,False,False,13,Bakı,iceri-seher-metrosu,,,,,28.333333333333332,False,,500
6366271,https://bina.az/items/6366271,menziller/yeni-tikili,m²,110.0,,2.0,11.0,26.0,True,False,False,13,Bakı,8-noyabr,,0.4230769230769231,False,False,55.0,False,,1500
6366275,https://bina.az/items/6366275,menziller/yeni-tikili,m²,56.0,,1.0,10.0,16.0,True,False,False,6,Bakı,nizami,,0.625,False,False,56.0,False,,600
6362209,https://bina.az/items/6362209,heyet-evleri,m²,150.0,12.0,4.0,,,True,False,False,18,Xudat,,,,,,37.5,False,,100
6366280,https://bina.az/items/6366280,heyet-evleri,m²,93.0,5.0,3.0,,,True,False,False,22,Bakı,suraxani,hovsan,,,,31.0,False,,1000
6366288,https://bina.az/items/6366288,menziller/yeni-tikili,m²,85.0,,2.0,8.0,15.0,True,False,False,8,Bakı,neriman-nerimanov,,0.5333333333333333,False,False,42.5,False,,899
6366292,https://bina.az/items/6366292,menziller/yeni-tikili,m²,70.0,,3.0,16.0,18.0,True,False,False,9,Bakı,bakmil,,0.8888888888888888,False,False,23.333333333333332,False,,1199
6165149,https://bina.az/items/6165149,menziller/yeni-tikili,m²,130.0,,3.0,5.0,17.0,True,False,False,17,Bakı,insaatcilar,,0.29411764705882354,False,False,43.333333333333336,True,,800
6116239,https://bina.az/items/6116239,menziller/kohne-tikili,m²,40.0,,2.0,1.0,1.0,True,False,False,17,Bakı,nizami-metrosu,,1.0,True,True,20.0,False,,900
6366297,https://bina.az/items/6366297,menziller/yeni-tikili,m²,120.0,,3.0,10.0,18.0,True,False,False,11,Bakı,nesimi,,0.5555555555555556,False,False,40.0,False,,1500
6176311,https://bina.az/items/6176311,menziller/yeni-tikili,m²,91.0,,2.0,14.0,17.0,True,False,False,27,Bakı,nizami,kesle,0.8235294117647058,False,False,45.5,False,,1000
6366304,https://bina.az/items/6366304,menziller/yeni-tikili,m²,100.0,,3.0,3.0,5.0,True,False,False,8,Bakı,neriman-nerimanov,,0.6,False,False,33.333333333333336,False,True,800
6366308,https://bina.az/items/6366308,menziller/yeni-tikili,m²,150.0,,3.0,11.0,17.0,True,False,False,30,Bakı,genclik,,0.6470588235294118,False,False,50.0,False,True,1700
6366315,https://bina.az/items/6366315,menziller/yeni-tikili,m²,96.0,,2.0,8.0,18.0,True,False,False,29,Bakı,nerimanov,,0.4444444444444444,False,False,48.0,False,,1200
6366317,https://bina.az/items/6366317,menziller/kohne-tikili,m²,90.0,,3.0,2.0,4.0,True,False,False,17,Bakı,neriman-nerimanov,,0.5,False,False,30.0,False,,700
6366320,https://bina.az/items/6366320,menziller/kohne-tikili,m²,85.0,,2.0,3.0,5.0,True,False,False,5,Bakı,sah-ismayil-xetai,,0.6,False,False,42.5,False,,1200
6362984,https://bina.az/items/6362984,menziller/kohne-tikili,m²,65.0,,2.0,2.0,5.0,True,False,False,12,Bakı,elmler-akademiyasi,,0.4,False,False,32.5,False,,600
6366332,https://bina.az/items/6366332,menziller/yeni-tikili,m²,110.0,,3.0,16.0,19.0,True,False,False,26,Bakı,elmler-akademiyasi,,0.8421052631578947,False,False,36.666666666666664,False,,1000
6151739,https://bina.az/items/6151739,ofisler,m²,30.0,,1.0,,,True,False,False,3,Bakı,neriman-nerimanov,,,,,30.0,False,True,449
